id,query
11,"I need a vegan dinner recipe that takes around 30 minutes, something easy for tonight"
12,"Quick vegan weeknight meal, 30 min max?"
13,"something fast for tonight"
14,"need dinner ideas quick"
15,"Looking for an impressive dairy-free main course for a dinner party, I have about an hour to prep and cook"
16,"Show me dairy-free recipes that would wow guests at a dinner party, 1 hour cooking time"
17,"I'm on a low FODMAP diet and need a simple weeknight dinner, around 30 minutes"
18,"low fodmap dinner recipe for tonight, 30 min or less"
19,"something nice for company tonight, have an hour"
20,"what can i make thats impressive"
21,"Super quick dairy-free dinner for tonight, like 10-15 minutes tops"
22,"Fast dairy free weeknight dinner under 15 min",

